item_id,order_id,product_id,product_name,category,sub_category,quantity,unit_price,discount_pct,discount_amt,line_revenue
20,11,PRD-00197,ApexBrand Organizers Lite B,Office Supplies,Organizers,1,148.67,0.25,37.17,111.5
21,12,PRD-00447,SwiftPro Dresses Pro L,Apparel,Dresses,4,268.63,0.0,0.0,1074.52
22,13,PRD-00258,NovaTech Chairs Premium C,Furniture,Chairs,5,2612.77,0.15,391.92,11104.25
23,13,PRD-00011,EcoGear Laptops Basic K,Electronics,Laptops,4,1825.31,0.15,273.8,6206.04
24,13,PRD-00148,PrimeLine Binders Premium M,Office Supplies,Binders,5,187.64,0.15,28.15,797.45
25,13,PRD-00052,NovaTech Accessories Pro G,Electronics,Accessories,4,1937.34,0.15,290.6,6586.96
26,13,PRD-00280,ClearPath Shelving Ultra J,Furniture,Shelving,2,4390.83,0.15,658.62,7464.42
27,14,PRD-00191,EcoGear Staplers Ultra K,Office Supplies,Staplers,3,77.94,0.0,0.0,233.82
28,15,PRD-00576,PrimeLine Lighting Premium F,Home & Kitchen,Lighting,1,234.72,0.0,0.0,234.72
29,16,PRD-00156,BrightCore Labels Pro F,Office Supplies,Labels,5,67.72,0.0,0.0,338.6
30,16,PRD-00505,ZenMark Small Appliances Lite J,Home & Kitchen,Small Appliances,5,490.16,0.0,0.0,2450.8
31,16,PRD-00053,SwiftPro Accessories Max H,Electronics,Accessories,1,2340.73,0.0,0.0,2340.73
32,16,PRD-00141,BrightCore Binders Basic F,Office Supplies,Binders,3,139.05,0.0,0.0,417.15
33,17,PRD-00091,NovaTech Gaming Basic A,Electronics,Gaming,2,2179.03,0.2,435.81,3486.44
34,18,PRD-00543,SwiftPro Storage Ultra C,Home & Kitchen,Storage,2,397.82,0.2,79.56,636.52
35,19,PRD-00480,ApexBrand Sportswear Max O,Apparel,Sportswear,5,290.21,0.2,58.04,1160.85
36,20,PRD-00393,BrightCore Trousers Ultra C,Apparel,Trousers,5,209.72,0.1,20.97,943.75
37,20,PRD-00181,ApexBrand Staplers Pro A,Office Supplies,Staplers,5,30.35,0.1,3.04,136.55
38,21,PRD-00468,ApexBrand Sportswear Pro C,Apparel,Sportswear,1,187.78,0.05,9.39,178.39
39,22,PRD-00394,EcoGear Trousers Max D,Apparel,Trousers,1,177.63,0.0,0.0,177.63
40,23,PRD-00151,ZenMark Labels Smart A,Office Supplies,Labels,2,35.78,0.15,5.37,60.82
41,24,PRD-00571,ClearPath Lighting Max A,Home & Kitchen,Lighting,2,334.4,0.0,0.0,668.8
42,25,PRD-00169,SwiftPro Pens & Pencils Mini D,Office Supplies,Pens & Pencils,3,202.31,0.05,10.12,576.57
43,26,PRD-00261,PrimeLine Chairs Basic F,Furniture,Chairs,2,2298.02,0.0,0.0,4596.04
44,26,PRD-00368,ClearPath T-Shirts Mini H,Apparel,T-Shirts,5,159.09,0.0,0.0,795.45
45,26,PRD-00411,EcoGear Shoes Lite F,Apparel,Shoes,5,149.19,0.0,0.0,745.95
46,27,PRD-00580,SwiftPro Lighting Ultra J,Home & Kitchen,Lighting,2,314.89,0.15,47.23,535.32
47,27,PRD-00306,BrightCore Filing Cabinets Plus F,Furniture,Filing Cabinets,5,3625.99,0.15,543.9,15410.45
48,28,PRD-00351,ClearPath Cabinets Basic F,Furniture,Cabinets,5,1789.52,0.0,0.0,8947.6
49,28,PRD-00258,NovaTech Chairs Premium C,Furniture,Chairs,5,3160.33,0.0,0.0,15801.65
50,28,PRD-00566,NovaTech Decor Premium K,Home & Kitchen,Decor,3,595.32,0.0,0.0,1785.96
51,28,PRD-00293,PrimeLine Tables Plus H,Furniture,Tables,4,1226.47,0.0,0.0,4905.88
52,28,PRD-00125,ApexBrand Paper Pro E,Office Supplies,Paper,5,206.69,0.0,0.0,1033.45
53,29,PRD-00062,PrimeLine Cameras Smart B,Electronics,Cameras,2,1486.08,0.25,371.52,2229.12
54,30,PRD-00406,ZenMark Shoes Lite A,Apparel,Shoes,4,174.55,0.2,34.91,558.56
55,31,PRD-00225,BrightCore Envelopes Max O,Office Supplies,Envelopes,3,118.2,0.1,11.82,319.14
56,31,PRD-00063,SwiftPro Cameras Max C,Electronics,Cameras,1,928.59,0.1,92.86,835.73
57,31,PRD-00477,ClearPath Sportswear Elite L,Apparel,Sportswear,5,263.24,0.1,26.32,1184.6
58,31,PRD-00353,SwiftPro Cabinets Smart H,Furniture,Cabinets,4,2603.68,0.1,260.37,9373.24
59,32,PRD-00458,NovaTech Accessories Premium H,Apparel,Accessories,2,169.03,0.15,25.35,287.36
60,33,PRD-00062,PrimeLine Cameras Smart B,Electronics,Cameras,1,1414.57,0.25,353.64,1060.93
61,34,PRD-00249,ApexBrand Desks Smart I,Furniture,Desks,5,1492.19,0.25,373.05,5595.7
62,35,PRD-00237,PrimeLine Notepads Max L,Office Supplies,Notepads,1,57.41,0.1,5.74,51.67
63,35,PRD-00524,BrightCore Bedding Pro N,Home & Kitchen,Bedding,2,428.95,0.1,42.9,772.1
64,35,PRD-00370,BrightCore T-Shirts Pro J,Apparel,T-Shirts,4,78.4,0.1,7.84,282.24
65,36,PRD-00223,EcoGear Envelopes Pro M,Office Supplies,Envelopes,3,127.48,0.0,0.0,382.44
66,36,PRD-00502,EcoGear Small Appliances Mini G,Home & Kitchen,Small Appliances,5,596.52,0.0,0.0,2982.6
67,37,PRD-00588,ApexBrand Tools Ultra C,Home & Kitchen,Tools,3,516.69,0.1,51.67,1395.06
68,37,PRD-00365,SwiftPro T-Shirts Premium E,Apparel,T-Shirts,5,236.32,0.1,23.63,1063.45
69,37,PRD-00027,PrimeLine Smartphones Pro L,Electronics,Smartphones,5,1229.14,0.1,122.91,5531.15
70,37,PRD-00177,BrightCore Pens & Pencils Ultra L,Office Supplies,Pens & Pencils,1,144.72,0.1,14.47,130.25
71,37,PRD-00563,NovaTech Decor Smart H,Home & Kitchen,Decor,5,537.64,0.1,53.76,2419.4
72,37,PRD-00337,ZenMark Sofas Lite G,Furniture,Sofas,1,2981.1,0.1,298.11,2682.99
73,38,PRD-00310,SwiftPro Filing Cabinets Max J,Furniture,Filing Cabinets,3,3210.08,0.2,642.02,7704.18
74,38,PRD-00364,NovaTech T-Shirts Basic D,Apparel,T-Shirts,1,389.85,0.2,77.97,311.88
75,39,PRD-00075,ClearPath Cameras Premium O,Electronics,Cameras,2,2058.84,0.05,102.94,3911.8
76,40,PRD-00599,ZenMark Tools Basic N,Home & Kitchen,Tools,5,383.78,0.0,0.0,1918.9
77,41,PRD-00466,PrimeLine Sportswear Smart A,Apparel,Sportswear,3,401.32,0.0,0.0,1203.96
78,41,PRD-00279,BrightCore Shelving Mini I,Furniture,Shelving,4,4844.36,0.0,0.0,19377.44
79,42,PRD-00539,ApexBrand Cleaning Mini N,Home & Kitchen,Cleaning,5,535.61,0.0,0.0,2678.05
80,42,PRD-00556,SwiftPro Decor Plus A,Home & Kitchen,Decor,1,281.5,0.0,0.0,281.5
81,43,PRD-00458,NovaTech Accessories Premium H,Apparel,Accessories,3,186.43,0.0,0.0,559.29
82,44,PRD-00402,ApexBrand Trousers Mini L,Apparel,Trousers,5,147.03,0.0,0.0,735.15
83,45,PRD-00124,ClearPath Paper Ultra D,Office Supplies,Paper,3,201.06,0.15,30.16,512.7
84,46,PRD-00455,BrightCore Accessories Basic E,Apparel,Accessories,2,205.57,0.2,41.11,328.92
85,47,PRD-00430,ClearPath Jackets Mini J,Apparel,Jackets,4,57.11,0.2,11.42,182.76
86,48,PRD-00145,ApexBrand Binders Basic J,Office Supplies,Binders,3,146.65,0.2,29.33,351.96
87,49,PRD-00312,EcoGear Filing Cabinets Plus L,Furniture,Filing Cabinets,5,2053.3,0.15,308.0,8726.5
88,50,PRD-00147,ClearPath Binders Premium L,Office Supplies,Binders,5,128.75,0.0,0.0,643.75
89,50,PRD-00451,ClearPath Accessories Ultra A,Apparel,Accessories,2,343.67,0.0,0.0,687.34
90,51,PRD-00141,BrightCore Binders Basic F,Office Supplies,Binders,4,153.89,0.0,0.0,615.56
91,51,PRD-00384,NovaTech Hoodies Plus I,Apparel,Hoodies,4,246.46,0.0,0.0,985.84
92,51,PRD-00229,ClearPath Notepads Max D,Office Supplies,Notepads,2,181.85,0.0,0.0,363.7
93,51,PRD-00064,ApexBrand Cameras Basic D,Electronics,Cameras,2,2023.83,0.0,0.0,4047.66
94,52,PRD-00303,BrightCore Filing Cabinets Basic C,Furniture,Filing Cabinets,4,1557.02,0.0,0.0,6228.08
95,52,PRD-00123,BrightCore Paper Mini C,Office Supplies,Paper,1,221.81,0.0,0.0,221.81
96,53,PRD-00409,PrimeLine Shoes Elite D,Apparel,Shoes,3,320.03,0.0,0.0,960.09
97,53,PRD-00549,ClearPath Storage Premium I,Home & Kitchen,Storage,3,609.15,0.0,0.0,1827.45
98,54,PRD-00191,EcoGear Staplers Ultra K,Office Supplies,Staplers,5,78.62,0.1,7.86,353.8
99,54,PRD-00130,SwiftPro Paper Elite J,Office Supplies,Paper,1,183.85,0.1,18.39,165.46
100,54,PRD-00490,NovaTech Cookware Premium J,Home & Kitchen,Cookware,1,230.12,0.1,23.01,207.11
101,54,PRD-00068,BrightCore Cameras Elite H,Electronics,Cameras,4,3599.83,0.1,359.98,12959.4
102,54,PRD-00308,ZenMark Filing Cabinets Basic H,Furniture,Filing Cabinets,2,1841.03,0.1,184.1,3313.86
103,54,PRD-00452,ClearPath Accessories Smart B,Apparel,Accessories,1,163.61,0.1,16.36,147.25
104,55,PRD-00123,BrightCore Paper Mini C,Office Supplies,Paper,1,167.99,0.2,33.6,134.39
105,56,PRD-00486,ZenMark Cookware Max F,Home & Kitchen,Cookware,4,567.37,0.05,28.37,2156.0
106,57,PRD-00305,NovaTech Filing Cabinets Mini E,Furniture,Filing Cabinets,5,3852.49,0.1,385.25,17336.2
107,58,PRD-00297,PrimeLine Tables Basic L,Furniture,Tables,1,1616.68,0.0,0.0,1616.68
108,59,PRD-00457,EcoGear Accessories Elite G,Apparel,Accessories,2,207.86,0.0,0.0,415.72
109,59,PRD-00311,ApexBrand Filing Cabinets Basic K,Furniture,Filing Cabinets,3,3129.38,0.0,0.0,9388.14
110,59,PRD-00292,ApexBrand Tables Elite G,Furniture,Tables,5,3860.88,0.0,0.0,19304.4
111,59,PRD-00068,BrightCore Cameras Elite H,Electronics,Cameras,2,2782.81,0.0,0.0,5565.62
112,60,PRD-00586,BrightCore Tools Premium A,Home & Kitchen,Tools,4,308.11,0.0,0.0,1232.44
113,61,PRD-00123,BrightCore Paper Mini C,Office Supplies,Paper,5,262.55,0.0,0.0,1312.75
114,61,PRD-00493,ClearPath Cookware Max M,Home & Kitchen,Cookware,5,225.61,0.0,0.0,1128.05
115,61,PRD-00041,ApexBrand Tablets Premium K,Electronics,Tablets,4,3305.4,0.0,0.0,13221.6
116,62,PRD-00344,BrightCore Sofas Pro N,Furniture,Sofas,2,2564.53,0.15,384.68,4359.7
117,62,PRD-00404,SwiftPro Trousers Plus N,Apparel,Trousers,2,108.19,0.15,16.23,183.92
118,62,PRD-00458,NovaTech Accessories Premium H,Apparel,Accessories,5,148.72,0.15,22.31,632.05
119,62,PRD-00423,EcoGear Jackets Ultra C,Apparel,Jackets,3,63.42,0.15,9.51,161.73
120,62,PRD-00488,ClearPath Cookware Smart H,Home & Kitchen,Cookware,4,221.63,0.15,33.24,753.56
121,62,PRD-00555,ZenMark Storage Mini O,Home & Kitchen,Storage,3,293.45,0.15,44.02,748.29
122,63,PRD-00077,SwiftPro Audio Max B,Electronics,Audio,2,2503.31,0.2,500.66,4005.3
123,64,PRD-00491,EcoGear Cookware Pro K,Home & Kitchen,Cookware,4,435.7,0.1,43.57,1568.52
124,64,PRD-00438,SwiftPro Dresses Pro C,Apparel,Dresses,1,217.63,0.1,21.76,195.87
125,65,PRD-00132,PrimeLine Paper Max L,Office Supplies,Paper,5,83.28,0.0,0.0,416.4
126,65,PRD-00068,BrightCore Cameras Elite H,Electronics,Cameras,3,3296.03,0.0,0.0,9888.09
127,66,PRD-00215,NovaTech Envelopes Pro E,Office Supplies,Envelopes,2,254.47,0.1,25.45,458.04
128,66,PRD-00346,EcoGear Cabinets Lite A,Furniture,Cabinets,4,3594.04,0.1,359.4,12938.56
129,66,PRD-00106,ApexBrand Wearables Plus A,Electronics,Wearables,2,3209.85,0.1,320.98,5777.74
130,66,PRD-00308,ZenMark Filing Cabinets Basic H,Furniture,Filing Cabinets,5,2010.39,0.1,201.04,9046.75
131,67,PRD-00044,EcoGear Tablets Smart N,Electronics,Tablets,2,1195.97,0.15,179.4,2033.14
132,67,PRD-00008,ApexBrand Laptops Basic H,Electronics,Laptops,5,2373.47,0.15,356.02,10087.25
133,67,PRD-00272,PrimeLine Shelving Smart B,Furniture,Shelving,5,5318.94,0.15,797.84,22605.5
134,68,PRD-00452,ClearPath Accessories Smart B,Apparel,Accessories,1,150.95,0.05,7.55,143.4
135,68,PRD-00393,BrightCore Trousers Ultra C,Apparel,Trousers,2,272.3,0.05,13.62,517.36
136,69,PRD-00368,ClearPath T-Shirts Mini H,Apparel,T-Shirts,5,150.64,0.0,0.0,753.2
137,70,PRD-00163,ZenMark Labels Max M,Office Supplies,Labels,1,93.88,0.25,23.47,70.41
138,71,PRD-00432,ClearPath Jackets Elite L,Apparel,Jackets,5,198.31,0.1,19.83,892.4
139,72,PRD-00297,PrimeLine Tables Basic L,Furniture,Tables,5,1965.68,0.2,393.14,7862.7
140,73,PRD-00162,ZenMark Labels Premium L,Office Supplies,Labels,5,113.57,0.1,11.36,511.05
141,74,PRD-00048,SwiftPro Accessories Plus C,Electronics,Accessories,2,1338.55,0.2,267.71,2141.68
142,74,PRD-00287,ApexBrand Tables Basic B,Furniture,Tables,3,2434.84,0.2,486.97,5843.61
143,74,PRD-00503,SwiftPro Small Appliances Pro H,Home & Kitchen,Small Appliances,2,819.9,0.2,163.98,1311.84
144,74,PRD-00089,ClearPath Audio Lite N,Electronics,Audio,2,2956.36,0.2,591.27,4730.18
145,75,PRD-00166,EcoGear Pens & Pencils Mini A,Office Supplies,Pens & Pencils,2,89.48,0.0,0.0,178.96
146,75,PRD-00159,ApexBrand Labels Plus I,Office Supplies,Labels,4,146.38,0.0,0.0,585.52
147,76,PRD-00501,PrimeLine Small Appliances Premium F,Home & Kitchen,Small Appliances,1,335.17,0.0,0.0,335.17
148,76,PRD-00374,BrightCore T-Shirts Ultra N,Apparel,T-Shirts,2,230.15,0.0,0.0,460.3
149,77,PRD-00204,ZenMark Organizers Pro I,Office Supplies,Organizers,5,152.72,0.2,30.54,610.9
150,78,PRD-00002,EcoGear Laptops Basic B,Electronics,Laptops,4,4128.83,0.0,0.0,16515.32
151,79,PRD-00314,EcoGear Filing Cabinets Mini N,Furniture,Filing Cabinets,2,1820.52,0.05,91.03,3458.98
152,80,PRD-00396,ClearPath Trousers Mini F,Apparel,Trousers,4,306.16,0.0,0.0,1224.64
153,80,PRD-00379,BrightCore Hoodies Lite D,Apparel,Hoodies,4,134.58,0.0,0.0,538.32
154,81,PRD-00530,ClearPath Cleaning Mini E,Home & Kitchen,Cleaning,1,403.51,0.0,0.0,403.51
155,81,PRD-00312,EcoGear Filing Cabinets Plus L,Furniture,Filing Cabinets,4,1455.72,0.0,0.0,5822.88
156,82,PRD-00077,SwiftPro Audio Max B,Electronics,Audio,3,2580.21,0.0,0.0,7740.63
157,83,PRD-00069,ClearPath Cameras Max I,Electronics,Cameras,3,1417.8,0.0,0.0,4253.4
158,83,PRD-00107,ClearPath Wearables Ultra B,Electronics,Wearables,2,2819.16,0.0,0.0,5638.32
159,84,PRD-00489,EcoGear Cookware Ultra I,Home & Kitchen,Cookware,2,446.89,0.25,111.72,670.34
160,84,PRD-00377,ZenMark Hoodies Max B,Apparel,Hoodies,1,404.68,0.25,101.17,303.51
161,84,PRD-00502,EcoGear Small Appliances Mini G,Home & Kitchen,Small Appliances,5,597.7,0.25,149.43,2241.35
162,84,PRD-00449,SwiftPro Dresses Basic N,Apparel,Dresses,4,154.16,0.25,38.54,462.48
163,84,PRD-00054,ApexBrand Accessories Lite I,Electronics,Accessories,3,2555.66,0.25,638.92,5750.22
164,85,PRD-00380,BrightCore Hoodies Ultra E,Apparel,Hoodies,5,157.31,0.0,0.0,786.55
165,86,PRD-00533,BrightCore Cleaning Smart H,Home & Kitchen,Cleaning,4,370.93,0.1,37.09,1335.36
166,86,PRD-00461,EcoGear Accessories Max K,Apparel,Accessories,3,173.47,0.1,17.35,468.36
167,86,PRD-00015,ZenMark Laptops Plus O,Electronics,Laptops,2,2261.67,0.1,226.17,4071.0
168,87,PRD-00307,ZenMark Filing Cabinets Plus G,Furniture,Filing Cabinets,1,3104.07,0.0,0.0,3104.07
169,87,PRD-00116,ZenMark Wearables Pro K,Electronics,Wearables,2,1010.98,0.0,0.0,2021.96
170,87,PRD-00503,SwiftPro Small Appliances Pro H,Home & Kitchen,Small Appliances,3,745.56,0.0,0.0,2236.68
171,87,PRD-00170,ApexBrand Pens & Pencils Ultra E,Office Supplies,Pens & Pencils,2,116.43,0.0,0.0,232.86
172,87,PRD-00131,EcoGear Paper Mini K,Office Supplies,Paper,3,135.66,0.0,0.0,406.98
173,88,PRD-00500,PrimeLine Small Appliances Lite E,Home & Kitchen,Small Appliances,1,1000.75,0.25,250.19,750.56
174,88,PRD-00371,NovaTech T-Shirts Pro K,Apparel,T-Shirts,2,240.57,0.25,60.14,360.86
175,88,PRD-00599,ZenMark Tools Basic N,Home & Kitchen,Tools,3,368.44,0.25,92.11,828.99
176,89,PRD-00078,NovaTech Audio Max C,Electronics,Audio,1,2017.58,0.1,201.76,1815.82
177,89,PRD-00225,BrightCore Envelopes Max O,Office Supplies,Envelopes,1,103.64,0.1,10.36,93.28
178,89,PRD-00194,PrimeLine Staplers Ultra N,Office Supplies,Staplers,5,52.03,0.1,5.2,234.15
179,89,PRD-00133,EcoGear Paper Elite M,Office Supplies,Paper,2,236.03,0.1,23.6,424.86
180,90,PRD-00428,ClearPath Jackets Mini H,Apparel,Jackets,1,365.78,0.0,0.0,365.78
181,91,PRD-00558,PrimeLine Decor Ultra C,Home & Kitchen,Decor,4,374.13,0.0,0.0,1496.52
182,91,PRD-00056,ApexBrand Accessories Lite K,Electronics,Accessories,1,1063.88,0.0,0.0,1063.88
183,92,PRD-00334,PrimeLine Sofas Ultra D,Furniture,Sofas,5,1601.67,0.0,0.0,8008.35
184,92,PRD-00518,NovaTech Bedding Lite H,Home & Kitchen,Bedding,4,759.32,0.0,0.0,3037.28
185,92,PRD-00216,SwiftPro Envelopes Max F,Office Supplies,Envelopes,1,162.53,0.0,0.0,162.53
186,92,PRD-00489,EcoGear Cookware Ultra I,Home & Kitchen,Cookware,5,424.64,0.0,0.0,2123.2
187,93,PRD-00026,EcoGear Smartphones Mini K,Electronics,Smartphones,4,1715.74,0.0,0.0,6862.96
188,93,PRD-00574,BrightCore Lighting Basic D,Home & Kitchen,Lighting,2,876.11,0.0,0.0,1752.22
189,94,PRD-00352,ClearPath Cabinets Elite G,Furniture,Cabinets,3,2137.32,0.05,106.87,6091.35
190,95,PRD-00534,NovaTech Cleaning Premium I,Home & Kitchen,Cleaning,2,389.42,0.0,0.0,778.84
191,95,PRD-00065,ClearPath Cameras Smart E,Electronics,Cameras,5,1810.54,0.0,0.0,9052.7
192,95,PRD-00427,ClearPath Jackets Ultra G,Apparel,Jackets,1,207.82,0.0,0.0,207.82
193,95,PRD-00598,ZenMark Tools Plus M,Home & Kitchen,Tools,4,668.51,0.0,0.0,2674.04
194,95,PRD-00051,BrightCore Accessories Elite F,Electronics,Accessories,1,1636.27,0.0,0.0,1636.27
195,96,PRD-00084,PrimeLine Audio Pro I,Electronics,Audio,1,1635.79,0.15,245.37,1390.42
196,96,PRD-00515,NovaTech Bedding Elite E,Home & Kitchen,Bedding,4,252.4,0.15,37.86,858.16
197,96,PRD-00319,NovaTech Lamps Lite D,Furniture,Lamps,4,3027.29,0.15,454.09,10292.8
198,97,PRD-00444,SwiftPro Dresses Ultra I,Apparel,Dresses,1,337.59,0.0,0.0,337.59
199,98,PRD-00252,ClearPath Desks Plus L,Furniture,Desks,2,3940.73,0.0,0.0,7881.46
200,98,PRD-00200,ZenMark Organizers Max E,Office Supplies,Organizers,4,160.95,0.0,0.0,643.8
201,98,PRD-00598,ZenMark Tools Plus M,Home & Kitchen,Tools,3,690.71,0.0,0.0,2072.13
202,98,PRD-00238,BrightCore Notepads Smart M,Office Supplies,Notepads,1,109.05,0.0,0.0,109.05
203,99,PRD-00566,NovaTech Decor Premium K,Home & Kitchen,Decor,5,639.11,0.05,31.96,3035.75
204,100,PRD-00541,EcoGear Storage Pro A,Home & Kitchen,Storage,1,698.04,0.0,0.0,698.04
205,101,PRD-00202,NovaTech Organizers Elite G,Office Supplies,Organizers,5,97.74,0.0,0.0,488.7
206,101,PRD-00575,SwiftPro Lighting Smart E,Home & Kitchen,Lighting,4,243.92,0.0,0.0,975.68
207,101,PRD-00161,EcoGear Labels Max K,Office Supplies,Labels,1,140.0,0.0,0.0,140.0
208,102,PRD-00551,BrightCore Storage Premium K,Home & Kitchen,Storage,4,308.38,0.0,0.0,1233.52
209,103,PRD-00133,EcoGear Paper Elite M,Office Supplies,Paper,5,261.9,0.1,26.19,1178.55
210,103,PRD-00211,ApexBrand Envelopes Max A,Office Supplies,Envelopes,5,135.64,0.1,13.56,610.4
211,103,PRD-00334,PrimeLine Sofas Ultra D,Furniture,Sofas,1,1670.54,0.1,167.05,1503.49
212,103,PRD-00238,BrightCore Notepads Smart M,Office Supplies,Notepads,5,107.61,0.1,10.76,484.25
213,103,PRD-00446,NovaTech Dresses Max K,Apparel,Dresses,5,185.7,0.1,18.57,835.65
214,103,PRD-00146,SwiftPro Binders Elite K,Office Supplies,Binders,5,89.96,0.1,9.0,404.8
215,104,PRD-00492,BrightCore Cookware Pro L,Home & Kitchen,Cookware,1,305.2,0.05,15.26,289.94
216,105,PRD-00370,BrightCore T-Shirts Pro J,Apparel,T-Shirts,4,83.81,0.0,0.0,335.24
217,105,PRD-00317,ZenMark Lamps Premium B,Furniture,Lamps,5,2580.12,0.0,0.0,12900.6
218,106,PRD-00517,BrightCore Bedding Basic G,Home & Kitchen,Bedding,2,241.07,0.2,48.21,385.72
219,107,PRD-00597,PrimeLine Tools Pro L,Home & Kitchen,Tools,5,410.95,0.0,0.0,2054.75
220,108,PRD-00494,NovaTech Cookware Ultra N,Home & Kitchen,Cookware,5,516.13,0.0,0.0,2580.65
221,108,PRD-00341,ApexBrand Sofas Smart K,Furniture,Sofas,3,5451.72,0.0,0.0,16355.16
222,109,PRD-00481,SwiftPro Cookware Max A,Home & Kitchen,Cookware,1,510.12,0.0,0.0,510.12
223,110,PRD-00571,ClearPath Lighting Max A,Home & Kitchen,Lighting,5,305.99,0.25,76.5,1147.45
224,111,PRD-00388,EcoGear Hoodies Pro M,Apparel,Hoodies,1,168.92,0.25,42.23,126.69
225,112,PRD-00544,EcoGear Storage Ultra D,Home & Kitchen,Storage,2,336.9,0.15,50.54,572.72
226,113,PRD-00026,EcoGear Smartphones Mini K,Electronics,Smartphones,2,1387.74,0.0,0.0,2775.48
227,114,PRD-00309,NovaTech Filing Cabinets Ultra I,Furniture,Filing Cabinets,1,1934.35,0.2,386.87,1547.48
228,115,PRD-00075,ClearPath Cameras Premium O,Electronics,Cameras,3,2530.72,0.2,506.14,6073.74
229,115,PRD-00039,NovaTech Tablets Plus I,Electronics,Tablets,3,691.16,0.2,138.23,1658.79
230,116,PRD-00037,ApexBrand Tablets Smart G,Electronics,Tablets,4,860.32,0.0,0.0,3441.28
231,117,PRD-00056,ApexBrand Accessories Lite K,Electronics,Accessories,4,1090.74,0.25,272.68,3272.24
232,117,PRD-00032,NovaTech Tablets Smart B,Electronics,Tablets,4,1628.29,0.25,407.07,4884.88
233,118,PRD-00440,ApexBrand Dresses Mini E,Apparel,Dresses,3,219.2,0.0,0.0,657.6
234,118,PRD-00512,NovaTech Bedding Mini B,Home & Kitchen,Bedding,5,369.86,0.0,0.0,1849.3
235,119,PRD-00030,ApexBrand Smartphones Elite O,Electronics,Smartphones,1,2696.97,0.0,0.0,2696.97
236,119,PRD-00529,SwiftPro Cleaning Plus D,Home & Kitchen,Cleaning,4,465.42,0.0,0.0,1861.68
237,120,PRD-00220,SwiftPro Envelopes Lite J,Office Supplies,Envelopes,2,180.33,0.0,0.0,360.66
238,120,PRD-00548,NovaTech Storage Basic H,Home & Kitchen,Storage,5,411.62,0.0,0.0,2058.1
239,121,PRD-00251,BrightCore Desks Premium K,Furniture,Desks,5,2389.39,0.25,597.35,8960.2
240,122,PRD-00347,BrightCore Cabinets Smart B,Furniture,Cabinets,1,1698.98,0.05,84.95,1614.03
241,123,PRD-00406,ZenMark Shoes Lite A,Apparel,Shoes,2,183.94,0.25,45.98,275.92
242,124,PRD-00054,ApexBrand Accessories Lite I,Electronics,Accessories,4,2546.74,0.2,509.35,8149.56
243,125,PRD-00210,EcoGear Organizers Elite O,Office Supplies,Organizers,3,178.24,0.2,35.65,427.77
244,126,PRD-00341,ApexBrand Sofas Smart K,Furniture,Sofas,2,5391.49,0.0,0.0,10782.98
245,127,PRD-00022,ZenMark Smartphones Pro G,Electronics,Smartphones,5,2115.95,0.0,0.0,10579.75
246,128,PRD-00591,EcoGear Tools Basic F,Home & Kitchen,Tools,4,716.93,0.2,143.39,2294.16
247,128,PRD-00326,SwiftPro Lamps Lite K,Furniture,Lamps,3,4376.07,0.2,875.21,10502.58
