order_id,customer_id,sales_rep_id,order_date,ship_date,ship_mode,order_status,payment_method,country,city,region,order_total
107,1140,4,2026-02-12,2026-02-19,Express,Delivered,Credit Card,Philippines,Davao,APAC,2054.75
108,4717,8,2024-05-03,2024-05-12,Express,Delivered,Credit Card,USA,Austin,North America,18935.81
109,5616,3,2025-01-08,2025-01-18,Standard,Delivered,Credit Card,India,Ahmedabad,APAC,510.12
110,4361,16,2026-02-04,2026-02-10,Express,Delivered,Credit Card,UK,Edinburgh,Europe,1147.45
111,5721,10,2025-03-21,2025-03-27,Express,Cancelled,Credit Card,USA,Phoenix,North America,126.69
112,7793,8,2025-05-30,2025-05-31,Express,Delivered,Bank Transfer,USA,Austin,North America,572.72
113,6998,10,2023-03-25,2023-04-01,Express,Processing,PayPal,USA,Phoenix,North America,2775.48
114,2732,8,2024-07-30,2024-08-07,Standard,Delivered,Bank Transfer,USA,Seattle,North America,1547.48
115,1076,12,2023-04-29,2023-05-04,Standard,Delivered,PayPal,Canada,Toronto,North America,7732.53
116,2550,9,2025-06-24,2025-06-25,Standard,Cancelled,GCash,USA,Austin,North America,3441.28
117,6461,18,2024-02-28,2024-03-03,Express,Processing,GCash,UK,Glasgow,Europe,8157.12
118,7531,7,2023-07-12,2023-07-20,Economy,Delivered,Credit Card,India,Delhi,APAC,2506.9
119,1843,17,2024-10-09,2024-10-15,Express,Delivered,Debit Card,UK,London,Europe,4558.65
120,7583,18,2023-11-17,2023-11-24,Standard,Delivered,Debit Card,UK,Birmingham,Europe,2418.76
121,2169,4,2024-02-12,2024-02-18,Standard,Shipped,GCash,Australia,Adelaide,APAC,8960.2
122,7034,2,2025-12-09,2025-12-19,Standard,Delivered,Credit Card,Philippines,Quezon City,APAC,1614.03
123,4149,19,2024-08-14,2024-08-16,Standard,Delivered,Credit Card,UK,London,Europe,275.92
124,2649,11,2024-07-17,2024-07-19,Express,Delivered,PayPal,USA,New York,North America,8149.56
125,6189,2,2025-10-11,2025-10-18,Standard,Returned,PayPal,Australia,Brisbane,APAC,427.77
126,4293,14,2024-04-29,2024-05-05,Standard,Delivered,Debit Card,USA,Los Angeles,North America,10782.98
127,7904,4,2024-02-02,2024-02-12,Express,Delivered,Debit Card,Australia,Adelaide,APAC,10579.75
128,2794,3,2026-01-17,2026-01-24,Economy,Processing,Credit Card,Philippines,Makati,APAC,13452.64
129,1501,10,2024-04-18,2024-04-20,Standard,Cancelled,Debit Card,USA,Dallas,North America,5322.75
130,5360,6,2025-10-23,2025-10-30,Standard,Processing,Buy Now Pay Later,Philippines,Makati,APAC,193.06
131,2279,16,2024-01-16,2024-01-21,Express,Delivered,Bank Transfer,UK,Leeds,Europe,2996.94
132,6097,1,2025-09-05,2025-09-13,Same Day,Shipped,Credit Card,Philippines,Makati,APAC,2321.93
133,3743,10,2025-09-14,2025-09-24,Standard,Processing,Debit Card,USA,Austin,North America,6468.06
134,4555,17,2023-12-16,2023-12-19,Same Day,Delivered,Credit Card,UK,Birmingham,Europe,228.08
135,7552,9,2024-07-18,2024-07-27,Same Day,Returned,Bank Transfer,Canada,Vancouver,North America,6475.86
136,6802,7,2026-01-07,2026-01-14,Standard,Cancelled,GCash,Australia,Melbourne,APAC,6096.81
137,4551,11,2024-02-04,2024-02-13,Standard,Returned,Debit Card,Canada,Ottawa,North America,628.1
138,542,10,2024-10-12,2024-10-19,Express,Cancelled,PayPal,USA,Phoenix,North America,4176.24
139,4744,5,2023-01-28,2023-02-05,Express,Shipped,Debit Card,Philippines,Davao,APAC,550.2
140,3863,6,2023-10-29,2023-10-31,Standard,Delivered,Bank Transfer,Philippines,Caloocan,APAC,1538.76
141,2864,13,2024-10-07,2024-10-16,Standard,Delivered,Credit Card,USA,Chicago,North America,17420.1
142,3986,4,2025-08-01,2025-08-03,Express,Delivered,Credit Card,India,Delhi,APAC,9988.48
143,4895,9,2025-03-21,2025-03-22,Standard,Delivered,Buy Now Pay Later,Canada,Quebec City,North America,16772.93
144,681,16,2023-09-21,2023-09-27,Economy,Delivered,PayPal,UK,Bristol,Europe,20427.0
145,949,8,2024-12-27,2025-01-06,Standard,Delivered,Debit Card,USA,New York,North America,183.65
146,7719,12,2024-11-24,2024-12-02,Economy,Delivered,Credit Card,USA,Chicago,North America,4320.18
147,1316,15,2023-03-31,2023-04-07,Express,Delivered,Credit Card,UK,Birmingham,Europe,11579.36
148,4254,16,2023-05-02,2023-05-09,Express,Delivered,Credit Card,UK,Glasgow,Europe,3424.38
149,4791,14,2023-11-14,2023-11-15,Express,Delivered,Buy Now Pay Later,USA,Seattle,North America,7487.56
150,1487,3,2026-05-10,2026-05-11,Standard,Shipped,Credit Card,Philippines,Quezon City,APAC,134.86
151,4790,1,2025-12-11,2025-12-15,Standard,Shipped,PayPal,India,Hyderabad,APAC,9898.24
152,2275,6,2023-11-04,2023-11-05,Economy,Delivered,Debit Card,Australia,Hobart,APAC,2856.47
153,2219,20,2024-12-01,2024-12-07,Standard,Delivered,PayPal,UK,Edinburgh,Europe,13812.19
154,3314,1,2023-06-27,2023-07-02,Express,Shipped,Bank Transfer,Australia,Brisbane,APAC,2140.06
155,3879,6,2024-10-06,2024-10-11,Economy,Delivered,Credit Card,Australia,Perth,APAC,3541.97
156,6264,8,2023-10-30,2023-11-07,Standard,Shipped,Credit Card,USA,Dallas,North America,13091.44
157,4979,15,2023-04-23,2023-04-26,Economy,Returned,Credit Card,UK,Leeds,Europe,3129.33
158,6537,8,2023-10-01,2023-10-11,Express,Shipped,Buy Now Pay Later,Canada,Edmonton,North America,10786.45
159,997,10,2025-01-27,2025-02-05,Same Day,Delivered,Debit Card,USA,Austin,North America,2167.92
160,6704,5,2025-04-06,2025-04-13,Express,Delivered,PayPal,Philippines,Davao,APAC,12428.08
161,5062,16,2024-02-15,2024-02-24,Same Day,Delivered,PayPal,UK,Liverpool,Europe,2239.66
162,4366,9,2024-03-01,2024-03-04,Standard,Delivered,Credit Card,USA,Chicago,North America,910.6
163,4126,7,2023-04-04,2023-04-10,Standard,Delivered,GCash,India,Hyderabad,APAC,335.56
164,1521,19,2025-10-15,2025-10-23,Standard,Returned,Credit Card,UK,Leeds,Europe,782.88
165,2738,14,2025-07-23,2025-08-01,Standard,Delivered,Credit Card,USA,Seattle,North America,578.17
166,1386,8,2023-05-20,2023-05-22,Standard,Delivered,PayPal,USA,Los Angeles,North America,633.75
167,6544,12,2023-07-08,2023-07-12,Same Day,Processing,Debit Card,USA,Phoenix,North America,674.47
168,5806,8,2024-12-22,2024-12-24,Express,Delivered,Credit Card,USA,Phoenix,North America,1733.59
169,1168,5,2026-02-19,2026-02-21,Express,Delivered,Bank Transfer,India,Chennai,APAC,1368.56
170,6649,1,2023-04-05,2023-04-08,Economy,Delivered,Bank Transfer,Australia,Perth,APAC,1255.59
171,420,18,2025-02-18,2025-02-19,Economy,Delivered,Bank Transfer,UK,London,Europe,1363.96
172,4812,6,2026-05-05,2026-05-15,Standard,Delivered,PayPal,India,Pune,APAC,7640.86
173,2820,13,2025-11-08,2025-11-12,Standard,Returned,Bank Transfer,Canada,Calgary,North America,663.12
174,6298,20,2024-08-10,2024-08-15,Express,Cancelled,Bank Transfer,UK,Leeds,Europe,491.88
175,5253,8,2023-04-19,2023-04-24,Standard,Shipped,Credit Card,Canada,Winnipeg,North America,8628.34
176,7737,4,2024-01-02,2024-01-03,Express,Shipped,Credit Card,Philippines,Makati,APAC,5718.64
177,2128,7,2025-01-25,2025-01-31,Standard,Cancelled,Bank Transfer,Australia,Hobart,APAC,549.2
178,3911,19,2024-09-16,2024-09-22,Same Day,Delivered,Credit Card,UK,Leeds,Europe,1721.71
179,5651,5,2025-04-02,2025-04-04,Standard,Delivered,Bank Transfer,Australia,Adelaide,APAC,4196.52
180,5582,9,2023-06-23,2023-06-24,Same Day,Cancelled,Bank Transfer,Canada,Toronto,North America,6670.83
181,3693,4,2026-03-18,2026-03-22,Economy,Delivered,Credit Card,India,Kolkata,APAC,1361.55
182,6797,11,2025-11-21,2025-11-30,Express,Shipped,Bank Transfer,USA,Austin,North America,2369.6
183,5921,4,2025-11-13,2025-11-19,Express,Delivered,GCash,India,Chennai,APAC,347.61
184,6446,7,2026-05-03,2026-05-05,Economy,Delivered,GCash,Philippines,Cebu,APAC,8463.03
185,1357,5,2025-07-16,2025-07-22,Standard,Delivered,GCash,Philippines,Caloocan,APAC,286.04
186,2245,20,2026-04-13,2026-04-16,Economy,Cancelled,GCash,UK,London,Europe,271.18
187,2478,1,2025-01-25,2025-01-30,Economy,Shipped,Bank Transfer,Philippines,Pasig,APAC,4546.93
188,2864,14,2025-03-09,2025-03-19,Economy,Delivered,Credit Card,USA,Chicago,North America,13432.2
189,7866,14,2025-09-23,2025-09-26,Standard,Delivered,PayPal,USA,Chicago,North America,959.6
190,7533,10,2023-07-09,2023-07-14,Economy,Processing,Buy Now Pay Later,Canada,Toronto,North America,5377.95
191,4713,6,2025-12-07,2025-12-09,Express,Returned,Debit Card,Philippines,Manila,APAC,3885.05
192,884,2,2026-01-06,2026-01-10,Same Day,Delivered,Bank Transfer,Philippines,Davao,APAC,7148.51
193,2199,5,2025-07-02,2025-07-10,Express,Delivered,GCash,Philippines,Cebu,APAC,129.27
194,6804,2,2025-01-27,2025-01-31,Express,Processing,Buy Now Pay Later,Philippines,Cebu,APAC,866.48
195,1819,14,2024-01-07,2024-01-10,Same Day,Delivered,Bank Transfer,USA,Phoenix,North America,5236.09
196,5425,2,2025-08-12,2025-08-18,Express,Processing,Bank Transfer,Philippines,Taguig,APAC,1458.0
197,6607,10,2025-02-10,2025-02-19,Express,Delivered,Buy Now Pay Later,Canada,Montreal,North America,11434.15
198,2225,12,2025-08-26,2025-09-05,Express,Delivered,Credit Card,USA,Phoenix,North America,1083.09
199,2006,6,2024-07-01,2024-07-02,Standard,Shipped,Bank Transfer,Philippines,Quezon City,APAC,10797.28
200,6580,12,2023-08-10,2023-08-17,Economy,Delivered,Credit Card,USA,Los Angeles,North America,615.32
201,1477,6,2026-03-31,2026-04-10,Standard,Processing,Credit Card,Philippines,Davao,APAC,725.55
202,1077,3,2023-10-30,2023-11-02,Economy,Delivered,Bank Transfer,Philippines,Taguig,APAC,7474.99
203,1847,4,2023-12-10,2023-12-12,Express,Processing,GCash,India,Bangalore,APAC,4067.82
204,2225,13,2023-11-06,2023-11-08,Express,Delivered,Bank Transfer,USA,Phoenix,North America,203.12
205,272,16,2023-03-05,2023-03-08,Economy,Processing,Buy Now Pay Later,UK,Bristol,Europe,19505.56
206,413,4,2026-05-03,2026-05-08,Express,Delivered,GCash,India,Chennai,APAC,5068.54
207,5184,2,2025-01-12,2025-01-21,Economy,Shipped,Debit Card,Philippines,Caloocan,APAC,6021.98
208,6949,2,2024-03-07,2024-03-14,Express,Delivered,Bank Transfer,Philippines,Quezon City,APAC,16549.75
209,6138,12,2026-05-26,2026-05-31,Express,Delivered,Credit Card,USA,Dallas,North America,10740.21
210,2097,13,2023-07-08,2023-07-13,Same Day,Delivered,GCash,Canada,Calgary,North America,9993.25
211,3943,7,2024-03-23,2024-03-25,Express,Delivered,GCash,India,Delhi,APAC,315.94
212,4680,2,2024-06-27,2024-07-05,Express,Delivered,Bank Transfer,India,Mumbai,APAC,3820.4
213,2389,3,2023-07-12,2023-07-18,Same Day,Delivered,Credit Card,Australia,Perth,APAC,3866.62
214,967,14,2024-10-03,2024-10-07,Standard,Delivered,Bank Transfer,Canada,Quebec City,North America,1432.0
215,6398,5,2024-05-21,2024-05-31,Economy,Returned,GCash,Philippines,Cebu,APAC,378.36
216,126,7,2023-05-30,2023-05-31,Express,Shipped,PayPal,India,Pune,APAC,1612.13
217,2018,13,2024-11-14,2024-11-19,Standard,Delivered,Credit Card,USA,Austin,North America,1219.04
218,6486,20,2024-12-29,2025-01-01,Express,Delivered,Credit Card,UK,Birmingham,Europe,230.9
219,7283,14,2025-11-09,2025-11-14,Economy,Delivered,Credit Card,USA,Seattle,North America,1518.3
220,4285,11,2025-04-18,2025-04-22,Standard,Delivered,Debit Card,USA,New York,North America,12451.74
221,4532,1,2025-09-14,2025-09-15,Standard,Shipped,Credit Card,India,Ahmedabad,APAC,10693.8
222,4895,9,2023-03-29,2023-04-05,Same Day,Processing,Debit Card,Canada,Quebec City,North America,1198.11
223,7215,19,2026-03-08,2026-03-11,Standard,Delivered,Debit Card,UK,Leeds,Europe,2214.12
224,4860,10,2025-04-26,2025-04-28,Express,Delivered,Credit Card,USA,Chicago,North America,7635.0
225,3047,4,2025-09-30,2025-10-04,Economy,Delivered,Bank Transfer,Philippines,Makati,APAC,20521.02
226,4371,3,2023-09-15,2023-09-20,Express,Delivered,Credit Card,Australia,Canberra,APAC,6941.58
227,3761,12,2025-06-22,2025-06-26,Economy,Delivered,Credit Card,Canada,Winnipeg,North America,8319.66
228,4529,13,2023-03-28,2023-03-30,Express,Delivered,Debit Card,USA,Houston,North America,154.74
229,1150,1,2025-06-02,2025-06-10,Express,Shipped,Credit Card,Philippines,Caloocan,APAC,2610.8
230,7113,5,2025-03-29,2025-03-30,Express,Shipped,GCash,Philippines,Taguig,APAC,8160.9
231,2155,3,2023-04-28,2023-05-01,Express,Delivered,PayPal,Philippines,Manila,APAC,6523.35
232,5343,14,2025-08-09,2025-08-13,Standard,Delivered,PayPal,USA,Chicago,North America,26919.91
233,5077,15,2023-03-13,2023-03-14,Standard,Delivered,PayPal,UK,London,Europe,214.11
234,4201,6,2024-04-29,2024-05-07,Express,Shipped,Bank Transfer,Philippines,Cebu,APAC,12132.9
235,2372,14,2023-04-15,2023-04-20,Express,Delivered,Credit Card,Canada,Winnipeg,North America,39554.84
236,6817,4,2023-11-22,2023-11-26,Standard,Delivered,Bank Transfer,India,Kolkata,APAC,7947.86
237,452,12,2024-06-24,2024-06-25,Economy,Delivered,PayPal,USA,Austin,North America,3087.56
238,3990,11,2023-05-17,2023-05-24,Express,Delivered,Credit Card,USA,Chicago,North America,12677.9
239,5292,12,2023-03-26,2023-04-05,Express,Delivered,PayPal,USA,Dallas,North America,191.14
240,5062,16,2024-06-13,2024-06-15,Express,Delivered,Credit Card,UK,Liverpool,Europe,351.0
241,4566,18,2024-08-27,2024-09-04,Standard,Delivered,Credit Card,UK,Edinburgh,Europe,10419.55
242,6568,4,2023-01-05,2023-01-10,Standard,Delivered,GCash,India,Ahmedabad,APAC,8077.08
243,7696,7,2024-06-06,2024-06-10,Express,Delivered,Buy Now Pay Later,Philippines,Cebu,APAC,3907.3
244,1816,8,2024-01-31,2024-02-02,Standard,Cancelled,PayPal,USA,Seattle,North America,8873.48
245,7564,9,2025-05-20,2025-05-27,Standard,Delivered,Bank Transfer,USA,Chicago,North America,8344.49
246,4671,17,2023-05-11,2023-05-12,Express,Delivered,Buy Now Pay Later,UK,Birmingham,Europe,1054.65
247,4413,7,2025-02-26,2025-03-05,Economy,Delivered,Credit Card,Philippines,Taguig,APAC,1370.99
248,6977,6,2024-04-07,2024-04-13,Standard,Shipped,Credit Card,India,Hyderabad,APAC,2638.62
249,4560,6,2025-11-08,2025-11-10,Economy,Delivered,GCash,India,Hyderabad,APAC,673.32
250,7114,7,2024-06-08,2024-06-16,Standard,Shipped,GCash,India,Mumbai,APAC,4216.9
251,3601,11,2024-04-03,2024-04-10,Economy,Delivered,Credit Card,Canada,Edmonton,North America,959.1
252,5902,1,2024-12-29,2025-01-08,Standard,Shipped,Debit Card,Philippines,Manila,APAC,1162.24
253,6350,2,2023-02-16,2023-02-17,Express,Delivered,Credit Card,Australia,Perth,APAC,389.3
254,2538,2,2024-03-05,2024-03-11,Express,Delivered,Credit Card,India,Pune,APAC,5336.22
255,2824,5,2025-03-08,2025-03-11,Express,Processing,GCash,Philippines,Taguig,APAC,982.23
256,2579,7,2025-06-17,2025-06-24,Express,Processing,Debit Card,Philippines,Quezon City,APAC,2646.24
257,3735,9,2025-11-18,2025-11-27,Express,Delivered,Credit Card,USA,New York,North America,1242.0
258,6425,14,2026-03-01,2026-03-11,Same Day,Delivered,PayPal,USA,New York,North America,384.95
259,4566,18,2024-01-02,2024-01-09,Economy,Delivered,PayPal,UK,Edinburgh,Europe,503.0
260,5783,7,2025-06-23,2025-06-26,Express,Returned,Bank Transfer,India,Mumbai,APAC,150.02
261,1014,5,2023-03-15,2023-03-19,Economy,Delivered,Debit Card,Australia,Adelaide,APAC,4974.96
262,6380,13,2024-12-24,2024-12-25,Express,Cancelled,Credit Card,USA,Seattle,North America,309.22
