lead_id,customer_id,created_date,source,status,follow_up_date
118,,2024-06-22,Referral,Lost,
119,,2024-04-09,Organic,Contacted,2024-04-12
120,4987,2024-09-06,Facebook Ads,Converted,
121,,2024-02-10,LinkedIn,Lost,
122,,2023-05-23,Direct,Lost,
123,,2026-04-21,TikTok,Contacted,2026-05-01
124,,2023-05-21,Direct,Lost,
125,,2024-03-05,Direct,Lost,
126,,2025-05-24,Facebook Ads,Contacted,2025-06-05
127,,2023-10-14,Facebook Ads,Contacted,2023-10-19
128,,2024-06-12,Facebook Ads,Contacted,2024-06-20
129,,2024-04-24,Facebook Ads,Contacted,2024-05-02
130,,2023-05-30,LinkedIn,Qualified,2023-06-07
131,,2023-12-04,LinkedIn,Lost,
132,,2024-09-21,Facebook Ads,Lost,
133,,2024-06-24,LinkedIn,Lost,
134,,2026-01-15,Facebook Ads,Lost,
135,5610,2024-05-08,TikTok,Converted,
136,6602,2023-10-10,LinkedIn,Converted,
137,,2023-08-11,Direct,Qualified,2023-08-24
138,,2023-03-23,Referral,Qualified,2023-04-05
139,4774,2023-01-28,Facebook Ads,Converted,
140,,2023-04-05,Referral,Qualified,2023-04-06
141,,2023-06-15,LinkedIn,Contacted,2023-06-16
142,4014,2026-04-01,Direct,Converted,
143,,2024-07-31,Organic,Lost,
144,,2026-02-05,Direct,Contacted,2026-02-09
145,,2025-04-25,TikTok,Lost,
146,,2024-01-06,Google Ads,Lost,
147,,2026-03-10,Facebook Ads,New,
148,,2025-06-08,LinkedIn,Lost,
149,,2024-09-04,Direct,Qualified,2024-09-05
150,2090,2025-11-16,LinkedIn,Converted,
151,6641,2026-05-09,Referral,Converted,
152,,2025-07-20,Google Ads,Lost,
153,,2023-03-19,Referral,Contacted,2023-03-25
154,,2023-09-24,Google Ads,Lost,
155,2789,2026-02-12,Organic,Converted,
156,525,2023-07-20,Organic,Converted,
157,,2023-07-15,LinkedIn,Lost,
158,2351,2026-01-12,Direct,Converted,
159,,2025-09-27,LinkedIn,Contacted,2025-10-03
160,,2023-12-04,Facebook Ads,Qualified,2023-12-16
161,1505,2026-02-12,Referral,Converted,
162,,2025-07-28,Direct,Lost,
163,,2026-05-23,LinkedIn,Lost,
164,5201,2026-02-09,Google Ads,Converted,
165,,2025-01-20,Direct,Contacted,2025-01-22
166,724,2023-01-25,TikTok,Converted,
167,,2025-06-28,Facebook Ads,Lost,
168,,2025-06-06,Organic,New,
169,,2024-07-01,Direct,Qualified,2024-07-11
170,3961,2025-07-05,Google Ads,Converted,
171,952,2023-12-22,TikTok,Converted,
172,2688,2023-10-12,Facebook Ads,Converted,
173,,2024-05-03,Referral,Contacted,2024-05-08
174,,2026-03-31,LinkedIn,Qualified,2026-04-14
175,,2023-02-21,Facebook Ads,New,
176,,2024-10-16,TikTok,Contacted,2024-10-18
177,5955,2025-05-22,Referral,Converted,
178,,2025-04-04,Facebook Ads,Contacted,2025-04-12
179,,2023-05-01,Direct,Qualified,2023-05-09
180,,2025-03-02,Direct,Lost,
181,,2025-01-13,Google Ads,New,
182,,2025-01-30,Facebook Ads,Contacted,2025-02-01
183,,2023-06-07,Direct,New,
184,2154,2024-11-13,Google Ads,Converted,
185,,2024-02-25,LinkedIn,Qualified,2024-02-27
186,,2024-12-11,LinkedIn,Qualified,2024-12-19
187,,2023-08-19,Direct,New,
188,,2023-05-04,Direct,Qualified,2023-05-05
189,,2025-03-16,Direct,Contacted,2025-03-27
190,,2024-01-16,Organic,Qualified,2024-01-19
191,,2024-02-25,Organic,Lost,
192,,2026-05-08,TikTok,New,
193,543,2024-07-01,TikTok,Converted,
194,,2024-04-27,Facebook Ads,Qualified,2024-05-05
195,6003,2025-08-03,Organic,Converted,
196,,2025-12-06,Organic,Qualified,2025-12-09
197,,2026-04-01,LinkedIn,Qualified,2026-04-08
198,7663,2025-11-17,Referral,Converted,
199,,2025-06-23,Google Ads,New,
200,,2025-09-29,Direct,Lost,
201,,2026-01-12,Google Ads,Lost,
202,,2025-02-09,Direct,Contacted,2025-02-21
203,,2025-01-02,LinkedIn,Qualified,2025-01-14
204,,2023-04-30,LinkedIn,Qualified,2023-05-13
205,,2023-05-06,Facebook Ads,Qualified,2023-05-16
206,,2025-08-27,Direct,Contacted,2025-08-28
207,,2025-09-11,Organic,Qualified,2025-09-19
208,,2023-03-25,Google Ads,Contacted,2023-04-06
209,,2026-03-16,Google Ads,Qualified,2026-03-23
210,,2026-05-17,TikTok,Contacted,2026-05-27
211,,2023-01-31,TikTok,New,
212,3179,2024-09-01,TikTok,Converted,
213,,2024-07-13,Google Ads,Contacted,2024-07-15
214,,2025-12-15,Facebook Ads,Lost,
215,,2025-07-24,Facebook Ads,Contacted,2025-08-05
216,6660,2023-11-29,Direct,Converted,
217,5833,2025-10-14,LinkedIn,Converted,
218,,2025-06-18,Facebook Ads,Contacted,2025-06-27
219,,2026-03-05,Google Ads,Lost,
220,,2023-09-08,Facebook Ads,New,
221,,2023-09-11,Google Ads,New,
222,,2025-06-20,TikTok,Contacted,2025-06-22
223,,2023-06-12,Organic,Contacted,2023-06-14
224,,2025-01-06,LinkedIn,Contacted,2025-01-15
225,,2023-10-04,LinkedIn,Qualified,2023-10-15
226,,2024-06-22,Referral,Lost,
227,,2023-10-02,LinkedIn,Qualified,2023-10-11
228,,2025-08-30,Facebook Ads,New,
229,,2025-02-27,Facebook Ads,New,
230,,2024-12-22,TikTok,Lost,
231,,2023-07-26,TikTok,Lost,
232,,2024-11-12,Facebook Ads,Lost,
233,6714,2026-03-25,Google Ads,Converted,
234,,2025-06-18,TikTok,Lost,
235,,2025-07-14,TikTok,Lost,
236,,2025-01-13,Direct,Lost,
237,,2023-11-24,LinkedIn,Qualified,2023-11-27
238,,2023-03-18,Organic,New,
239,,2024-08-31,Direct,Qualified,2024-09-01
240,,2023-07-24,TikTok,Lost,
241,,2023-11-12,Direct,Qualified,2023-11-20
242,,2024-05-31,Organic,Lost,
243,,2024-02-14,Direct,Lost,
244,,2026-05-25,TikTok,Contacted,2026-05-27
245,,2026-04-05,Facebook Ads,Lost,
246,,2023-01-25,Direct,Lost,
247,,2025-11-20,TikTok,Qualified,2025-12-02
248,,2023-09-03,Organic,New,
249,,2023-04-10,Direct,Contacted,2023-04-17
250,2114,2023-07-04,LinkedIn,Converted,
251,,2026-03-18,LinkedIn,Qualified,2026-03-29
252,,2024-05-31,Facebook Ads,Qualified,2024-06-05
253,,2025-03-12,Organic,Lost,
254,,2023-01-08,Referral,Contacted,2023-01-15
255,6993,2026-01-15,Facebook Ads,Converted,
256,,2025-02-17,Google Ads,Lost,
257,,2024-11-23,Google Ads,New,
258,,2023-10-28,Google Ads,Lost,
259,,2026-05-23,LinkedIn,Qualified,2026-06-06
260,,2025-03-15,Referral,Contacted,2025-03-26
261,6287,2025-01-20,Google Ads,Converted,
262,,2025-12-21,Direct,Qualified,2025-12-25
263,2826,2025-04-16,Facebook Ads,Converted,
264,,2025-07-29,Referral,New,
265,4683,2025-05-03,TikTok,Converted,
266,,2024-08-13,Facebook Ads,Contacted,2024-08-22
267,,2026-03-12,Direct,Lost,
268,3763,2026-04-02,TikTok,Converted,
269,,2026-01-04,LinkedIn,Lost,
270,4176,2023-07-10,Google Ads,Converted,
271,,2025-03-19,Facebook Ads,Lost,
272,4602,2023-01-27,Google Ads,Converted,
273,,2024-08-31,Google Ads,Contacted,2024-09-11
274,2539,2023-02-16,TikTok,Converted,
275,,2025-11-10,Referral,New,
276,,2026-02-01,TikTok,Qualified,2026-02-07
277,,2025-12-04,Facebook Ads,New,
278,1916,2025-04-05,Google Ads,Converted,
279,,2023-12-15,Google Ads,Qualified,2023-12-25
280,,2025-02-02,Organic,Qualified,2025-02-15
281,,2024-12-03,Google Ads,Qualified,2024-12-06
282,,2024-08-24,Organic,Contacted,2024-09-07
283,,2023-12-05,TikTok,Lost,
284,,2024-07-24,Google Ads,Lost,
285,,2023-06-19,Referral,Qualified,2023-06-26
286,,2023-10-31,Facebook Ads,New,
287,,2026-05-10,Facebook Ads,Lost,
288,,2026-01-03,Referral,Lost,
289,,2023-04-03,TikTok,Qualified,2023-04-06
290,,2026-05-10,Facebook Ads,Lost,
291,4741,2025-09-20,Organic,Converted,
292,,2023-11-22,Direct,Qualified,2023-12-05
293,,2024-10-06,Facebook Ads,Contacted,2024-10-11
294,5377,2024-04-18,LinkedIn,Converted,
295,,2023-10-27,Direct,Contacted,2023-11-01
296,,2025-06-17,TikTok,Lost,
297,,2026-01-22,Organic,Qualified,2026-02-05
298,,2025-04-05,Organic,Lost,
299,,2024-06-19,Google Ads,Qualified,2024-06-27
300,6546,2025-01-23,Facebook Ads,Converted,
301,,2024-05-01,LinkedIn,New,
302,,2026-04-30,Facebook Ads,Contacted,2026-05-06
303,,2024-11-04,Organic,New,
304,,2026-02-14,Organic,Contacted,2026-02-23
305,,2025-03-31,Facebook Ads,Qualified,2025-04-09
306,,2025-03-16,Referral,Lost,
307,,2025-06-17,LinkedIn,Contacted,2025-06-26
308,,2023-12-21,Google Ads,Lost,
309,,2024-07-15,Facebook Ads,Lost,
310,,2025-11-10,Direct,Lost,
311,,2024-11-03,Organic,Lost,
312,,2024-11-21,Direct,Qualified,2024-11-25
313,,2025-09-23,Referral,Lost,
314,,2025-12-01,Organic,Qualified,2025-12-02
315,6548,2025-06-24,Direct,Converted,
316,,2023-05-20,Referral,Qualified,2023-05-26
317,,2025-05-14,LinkedIn,Contacted,2025-05-24
318,,2024-04-01,Facebook Ads,Qualified,2024-04-13
319,7275,2024-05-24,LinkedIn,Converted,
320,6096,2023-10-16,LinkedIn,Converted,
321,,2023-10-23,Google Ads,Lost,
322,4906,2023-05-09,LinkedIn,Converted,
323,,2023-05-22,Referral,Qualified,2023-05-23
324,,2023-01-28,Facebook Ads,Lost,
325,,2025-07-29,Google Ads,Lost,
326,,2023-09-07,Referral,Qualified,2023-09-16
327,,2023-09-02,Google Ads,Qualified,2023-09-14
328,,2024-05-11,LinkedIn,Qualified,2024-05-23
329,,2025-08-31,Direct,New,
330,,2023-09-14,LinkedIn,Contacted,2023-09-15
331,,2025-05-25,TikTok,Lost,
332,,2025-12-28,Direct,Lost,
333,3621,2024-08-17,Referral,Converted,
334,4180,2025-02-06,LinkedIn,Converted,
335,2007,2025-06-02,TikTok,Converted,
336,,2023-06-09,Google Ads,Lost,
337,4419,2024-09-05,Facebook Ads,Converted,
338,,2025-06-11,TikTok,Qualified,2025-06-23
339,,2023-06-21,LinkedIn,New,
340,,2025-09-20,Referral,New,
341,,2026-05-02,Organic,Lost,
342,5032,2024-01-23,LinkedIn,Converted,
343,,2023-09-08,Google Ads,New,
344,6381,2026-01-22,Direct,Converted,
345,,2025-10-03,Direct,Lost,
346,,2026-05-12,Organic,Qualified,2026-05-13
347,,2025-04-30,Facebook Ads,Lost,
348,,2023-01-22,Organic,Contacted,2023-01-28
349,3134,2023-06-25,TikTok,Converted,
350,,2024-07-03,Organic,New,
351,,2023-09-29,Google Ads,Lost,
352,,2025-11-26,TikTok,Contacted,2025-12-08
353,,2023-02-19,Facebook Ads,Lost,
354,,2025-06-12,Google Ads,New,
355,763,2023-10-29,Direct,Converted,
356,,2024-12-28,Direct,Qualified,2025-01-08
357,,2025-12-15,Direct,Contacted,2025-12-25
358,,2024-09-11,Direct,Qualified,2024-09-24
359,3823,2023-04-13,LinkedIn,Converted,
360,,2024-05-11,Google Ads,Lost,
361,,2024-08-13,Google Ads,Contacted,2024-08-19
362,,2025-04-10,Direct,Lost,
363,,2026-04-07,TikTok,New,
364,,2025-05-03,Facebook Ads,New,
365,7519,2026-02-13,Organic,Converted,
366,,2025-09-14,Google Ads,Contacted,2025-09-21
367,,2024-12-22,LinkedIn,Contacted,2024-12-23
368,,2025-07-02,Direct,Qualified,2025-07-07
369,,2024-11-27,Referral,New,
370,,2023-05-05,LinkedIn,Lost,
371,,2025-08-17,Facebook Ads,Qualified,2025-08-25
372,,2026-02-17,Referral,Lost,
373,4947,2023-12-15,Facebook Ads,Converted,
374,6490,2025-12-21,LinkedIn,Converted,
375,,2023-10-25,TikTok,Lost,
376,,2023-08-04,Referral,Qualified,2023-08-13
377,4078,2024-11-25,Organic,Converted,
378,,2025-09-21,TikTok,Qualified,2025-09-22
379,,2023-09-23,Direct,Qualified,2023-09-28
380,,2025-10-03,Referral,New,
381,,2025-07-28,Organic,Lost,
382,,2023-10-12,LinkedIn,Qualified,2023-10-19
383,,2024-11-03,LinkedIn,Contacted,2024-11-15
384,,2024-09-13,Facebook Ads,Qualified,2024-09-22
385,,2024-06-20,Google Ads,Qualified,2024-07-03
386,,2026-01-20,Google Ads,Lost,
387,,2026-01-20,Google Ads,Qualified,2026-02-02
388,,2023-08-08,Facebook Ads,Lost,
389,,2025-03-01,Direct,New,
390,,2024-09-16,Organic,Lost,
391,,2026-01-15,Facebook Ads,New,
392,,2024-06-19,Referral,Qualified,2024-06-24
393,,2026-01-05,TikTok,Qualified,2026-01-18
394,,2024-08-24,TikTok,Qualified,2024-09-07
395,,2024-11-24,Direct,Lost,
396,3074,2026-05-10,Referral,Converted,
397,,2024-04-27,TikTok,Qualified,2024-04-30
398,,2024-12-12,Organic,Lost,
399,,2024-02-11,TikTok,Lost,
400,,2024-01-30,LinkedIn,Qualified,2024-02-01
401,,2025-08-11,Facebook Ads,Lost,
402,,2023-06-20,Facebook Ads,Qualified,2023-06-27
403,,2024-12-15,TikTok,Contacted,2024-12-25
404,,2025-08-22,Referral,New,
405,,2023-04-23,Referral,Contacted,2023-04-30
406,,2024-09-08,Referral,Lost,
407,637,2025-03-27,Google Ads,Converted,
408,,2023-03-12,Referral,Lost,
409,,2024-05-22,Organic,Lost,
410,,2024-06-15,LinkedIn,New,
411,,2024-01-27,Google Ads,Lost,
412,6121,2025-04-17,Facebook Ads,Converted,
413,,2025-08-06,Organic,Contacted,2025-08-14
414,,2024-01-14,Direct,Qualified,2024-01-20
415,,2025-06-15,Referral,Lost,
416,,2026-05-02,TikTok,Lost,
417,,2025-10-26,Organic,Contacted,2025-11-07
418,,2025-07-01,Referral,Qualified,2025-07-07
419,,2026-01-29,Referral,Lost,
420,,2023-10-18,Direct,Contacted,2023-10-28
421,,2025-12-29,Facebook Ads,Lost,
422,,2024-09-09,Referral,Qualified,2024-09-20
423,,2026-04-25,Direct,Contacted,2026-05-03
424,,2024-04-21,TikTok,Qualified,2024-05-02
425,,2024-08-25,Google Ads,New,
426,3926,2025-05-31,Referral,Converted,
427,1825,2026-04-09,Google Ads,Converted,
428,,2024-03-08,Referral,Lost,
429,,2026-02-16,Organic,Qualified,2026-02-21
430,,2026-03-09,Google Ads,Lost,
431,,2023-09-27,TikTok,Qualified,2023-09-28
432,2681,2025-02-04,Organic,Converted,
433,,2024-08-30,Referral,Lost,
434,5841,2026-03-08,Google Ads,Converted,
435,,2023-10-13,Facebook Ads,Contacted,2023-10-21
436,,2025-05-15,LinkedIn,Qualified,2025-05-29
437,6256,2026-04-26,Direct,Converted,
438,,2023-10-22,TikTok,New,
439,3636,2024-01-04,Direct,Converted,
440,,2025-11-03,Organic,Lost,
441,,2024-12-22,LinkedIn,Contacted,2024-12-24
442,,2023-02-09,Referral,Contacted,2023-02-23
443,,2023-07-30,LinkedIn,Lost,
444,,2025-10-23,TikTok,Contacted,2025-10-25
445,,2025-04-29,TikTok,Lost,
446,1290,2023-10-03,Facebook Ads,Converted,
447,,2025-08-04,LinkedIn,Lost,
448,,2025-04-22,Google Ads,Qualified,2025-05-05
449,,2025-05-05,TikTok,Qualified,2025-05-11
450,,2024-09-22,Organic,Qualified,2024-10-01
451,,2023-12-20,TikTok,Contacted,2024-01-02
452,5521,2025-02-21,Referral,Converted,
453,,2023-09-24,Referral,Contacted,2023-10-07
454,,2025-11-26,Direct,New,
455,,2024-05-26,Google Ads,Contacted,2024-06-01
456,,2024-06-04,Facebook Ads,Qualified,2024-06-11
457,,2026-03-03,LinkedIn,Qualified,2026-03-11
458,,2025-06-04,TikTok,New,
459,1250,2024-06-15,Referral,Converted,
460,,2026-01-07,LinkedIn,Contacted,2026-01-10
461,4497,2024-11-30,Organic,Converted,
462,,2026-03-15,LinkedIn,Lost,
463,,2024-04-09,TikTok,Qualified,2024-04-21
464,,2025-05-02,Organic,New,
465,,2025-01-27,Facebook Ads,Lost,
466,,2024-10-28,Google Ads,New,
467,,2026-01-07,TikTok,New,
468,,2024-02-02,Direct,Qualified,2024-02-16
469,,2024-08-29,Facebook Ads,Lost,
470,,2026-04-23,Referral,Lost,
471,,2025-03-23,Organic,Qualified,2025-03-28
472,,2026-04-26,Organic,Lost,
473,,2024-07-03,LinkedIn,New,
474,4197,2024-09-02,Organic,Converted,
475,,2024-03-20,Facebook Ads,Lost,
476,,2025-03-10,Organic,Lost,
477,,2025-05-23,Organic,Qualified,2025-06-05
478,,2024-10-27,Google Ads,Qualified,2024-11-10
479,,2025-10-21,TikTok,New,
480,,2024-05-31,Organic,Contacted,2024-06-10
481,,2023-07-16,Direct,New,
482,,2023-02-23,Referral,Qualified,2023-02-28
483,,2025-12-20,Facebook Ads,Lost,
484,,2025-01-15,Organic,New,
485,,2026-04-20,LinkedIn,Lost,
486,,2025-01-07,Referral,Qualified,2025-01-16
487,,2026-04-17,Organic,Qualified,2026-05-01
488,,2026-01-07,LinkedIn,Qualified,2026-01-08
489,,2023-03-09,Facebook Ads,Lost,
490,,2024-07-15,Google Ads,Lost,
491,,2026-01-07,Google Ads,Lost,
492,,2025-04-06,Google Ads,Qualified,2025-04-09
493,,2024-05-28,TikTok,Contacted,2024-05-30
494,,2023-02-17,Organic,Contacted,2023-02-26
495,,2025-05-23,Direct,Qualified,2025-06-02
496,,2023-12-09,Google Ads,Qualified,2023-12-12
497,,2025-06-06,TikTok,Contacted,2025-06-07
498,,2024-08-06,Google Ads,New,
499,,2024-05-06,Direct,Qualified,2024-05-09
500,,2024-01-19,Facebook Ads,Lost,
501,,2026-05-19,Facebook Ads,Contacted,2026-05-25
502,1344,2025-05-15,Google Ads,Converted,
503,5170,2025-04-28,TikTok,Converted,
504,1640,2023-11-18,Direct,Converted,
505,,2025-12-10,LinkedIn,Contacted,2025-12-19
506,,2023-12-25,TikTok,Lost,
507,,2025-07-04,Direct,Lost,
508,,2024-10-19,LinkedIn,Lost,
509,,2025-02-11,Referral,Contacted,2025-02-25
510,,2024-07-17,LinkedIn,Qualified,2024-07-25
511,,2023-09-26,Organic,Qualified,2023-10-04
512,,2023-09-17,LinkedIn,Lost,
513,,2023-02-01,Facebook Ads,Contacted,2023-02-11
514,,2023-11-05,LinkedIn,Qualified,2023-11-11
515,,2023-02-18,Organic,Contacted,2023-03-04
516,,2024-10-05,Direct,New,
517,,2025-07-29,Google Ads,Lost,
518,,2024-07-17,Referral,Contacted,2024-07-31
519,6585,2024-11-19,Referral,Converted,
520,,2025-01-12,Organic,Lost,
521,,2024-06-15,LinkedIn,Qualified,2024-06-19
522,,2025-02-19,Organic,Contacted,2025-03-04
523,,2023-04-16,Facebook Ads,Contacted,2023-04-28
524,,2023-11-29,LinkedIn,Contacted,2023-12-11
525,,2023-10-13,Direct,Lost,
526,,2025-05-08,LinkedIn,Lost,
527,,2023-12-28,Direct,New,
528,,2023-03-18,Direct,New,
529,,2025-12-25,LinkedIn,Qualified,2025-12-27
530,,2024-06-30,Facebook Ads,Qualified,2024-07-12
531,,2024-02-12,LinkedIn,Contacted,2024-02-18
532,,2025-10-18,TikTok,Qualified,2025-10-23
533,,2024-01-06,TikTok,Qualified,2024-01-16
534,,2023-10-09,Organic,New,
535,,2023-09-14,LinkedIn,Contacted,2023-09-24
536,,2024-01-28,LinkedIn,Lost,
537,6340,2023-06-09,Direct,Converted,
538,,2026-05-25,TikTok,Lost,
539,,2024-09-19,Organic,Contacted,2024-10-01
540,68,2025-07-13,Facebook Ads,Converted,
541,,2024-10-01,Referral,Contacted,2024-10-05
542,,2024-02-17,Google Ads,Contacted,2024-02-25
543,,2023-08-09,Referral,Qualified,2023-08-20
544,,2023-02-16,Facebook Ads,Qualified,2023-02-26
545,,2024-07-21,TikTok,Qualified,2024-07-29
546,,2023-04-06,TikTok,Qualified,2023-04-17
547,2598,2025-04-12,Facebook Ads,Converted,
548,,2023-11-12,Google Ads,Qualified,2023-11-19
549,,2024-11-27,Referral,New,
550,,2023-11-03,TikTok,Qualified,2023-11-13
551,,2024-07-07,Facebook Ads,Qualified,2024-07-20
552,,2024-04-09,Referral,Qualified,2024-04-18
553,,2024-05-15,LinkedIn,New,
554,,2024-01-16,Referral,Lost,
555,,2025-03-26,Google Ads,New,
556,,2023-10-25,TikTok,Lost,
557,,2024-04-01,Google Ads,Qualified,2024-04-03
558,2914,2024-07-10,Facebook Ads,Converted,
559,,2025-12-25,Organic,Contacted,2026-01-04
560,,2023-05-29,Referral,New,
561,,2025-09-15,Direct,New,
562,,2025-02-05,Facebook Ads,Lost,
563,,2024-01-16,Organic,Contacted,2024-01-21
564,,2026-02-22,Google Ads,Contacted,2026-03-03
565,,2026-03-26,LinkedIn,New,
566,,2024-06-01,Google Ads,New,
567,,2023-10-21,Organic,New,
568,,2023-11-19,TikTok,Qualified,2023-11-27
569,,2025-09-09,LinkedIn,Contacted,2025-09-14
570,,2025-12-30,TikTok,Contacted,2026-01-13
571,,2025-09-03,Direct,New,
572,,2025-03-31,Facebook Ads,Lost,
573,,2024-11-10,Direct,Qualified,2024-11-21
574,,2024-03-29,Referral,Qualified,2024-04-02
575,,2024-04-04,Facebook Ads,Lost,
576,,2023-09-28,Direct,Qualified,2023-10-05
577,7114,2023-05-14,Facebook Ads,Converted,
578,,2026-01-06,Organic,Lost,
579,6826,2023-03-31,LinkedIn,Converted,
580,,2024-12-29,Direct,Qualified,2025-01-04
581,,2023-10-21,Organic,Contacted,2023-10-30
582,,2024-01-31,LinkedIn,Lost,
583,,2024-12-31,Organic,Lost,
584,913,2026-05-26,Google Ads,Converted,
585,,2026-04-08,Direct,Contacted,2026-04-11
586,,2024-08-02,TikTok,Contacted,2024-08-10
587,,2023-07-29,Google Ads,Qualified,2023-07-31
588,,2026-01-01,Direct,New,
589,,2024-02-09,TikTok,New,
